date,race,count,frac,Race
2021-01-18,UNKNOWN,139490,0,UNKNOWN
2021-01-18,WHITE,113908,0.021143577814726065,Caucasian/White
2021-01-19,ASIAN,1398,0.011503848399356344,Asian
2021-01-19,BLACK OR AFRICAN AMERICAN,11368,0.009767514795121359,Black/AfAm
2021-01-19,OTHER/MULTIRACIAL,123424,0.4545659351638211,OTHER/MULTIRACIAL
2021-01-19,UNKNOWN,137682,0,UNKNOWN
2021-01-19,WHITE,114310,0.02121819696598427,Caucasian/White
2021-01-20,ASIAN,4216,0.03469257857774417,Asian
2021-01-20,BLACK OR AFRICAN AMERICAN,19794,0.017007229754981718,Black/AfAm
2021-01-20,OTHER/MULTIRACIAL,34097,0.12557796450674755,OTHER/MULTIRACIAL
2021-01-20,UNKNOWN,139439,0,UNKNOWN
2021-01-20,WHITE,217524,0.040376756861418624,Caucasian/White
2021-01-21,ASIAN,4519,0.0371859019432699,Asian
2021-01-21,BLACK OR AFRICAN AMERICAN,21694,0.01863973134811425,Black/AfAm
2021-01-21,OTHER/MULTIRACIAL,34328,0.12642872879102646,OTHER/MULTIRACIAL
2021-01-21,UNKNOWN,138007,0,UNKNOWN
2021-01-21,WHITE,240029,0.04455412999342349,Caucasian/White
2021-01-22,ASIAN,4868,0.04005774964811637,Asian
2021-01-22,BLACK OR AFRICAN AMERICAN,23253,0.01997924186584773,Black/AfAm
2021-01-22,OTHER/MULTIRACIAL,37572,0.13837625839362755,OTHER/MULTIRACIAL
2021-01-22,UNKNOWN,136576,0,UNKNOWN
2021-01-22,WHITE,265869,0.04935054508922467,Caucasian/White
2021-01-23,ASIAN,5041,0.041481330315561754,Asian
2021-01-23,BLACK OR AFRICAN AMERICAN,24422,0.020983659951306636,Black/AfAm
2021-01-23,OTHER/MULTIRACIAL,39839,0.1467255338588238,OTHER/MULTIRACIAL
2021-01-23,UNKNOWN,136529,0,UNKNOWN
2021-01-23,WHITE,275085,0.05106121697478596,Caucasian/White
2021-01-24,ASIAN,5146,0.04234535326401126,Asian
2021-01-24,BLACK OR AFRICAN AMERICAN,24850,0.02135140241544386,Black/AfAm
2021-01-24,OTHER/MULTIRACIAL,40779,0.15018751839225322,OTHER/MULTIRACIAL
2021-01-24,UNKNOWN,137350,0,UNKNOWN
2021-01-24,WHITE,278072,0.05161566325540354,Caucasian/White
2021-01-25,ASIAN,5382,0.04428734770052636,Asian
2021-01-25,BLACK OR AFRICAN AMERICAN,25993,0.022333481005417793,Black/AfAm
2021-01-25,OTHER/MULTIRACIAL,42221,0.1554983499850247,OTHER/MULTIRACIAL
2021-01-25,UNKNOWN,134001,0,UNKNOWN
2021-01-25,WHITE,297670,0.05525343968913077,Caucasian/White
2021-01-26,ASIAN,5730,0.04715096661538759,Asian
2021-01-26,BLACK OR AFRICAN AMERICAN,28090,0.024135247237417223,Black/AfAm
2021-01-26,OTHER/MULTIRACIAL,44657,0.16447004607378435,OTHER/MULTIRACIAL
2021-01-26,UNKNOWN,132694,0,UNKNOWN
2021-01-26,WHITE,317459,0.05892666950069461,Caucasian/White
2021-01-27,ASIAN,6045,0.04974303546073612,Asian
2021-01-27,BLACK OR AFRICAN AMERICAN,30510,0.02621453874024918,Black/AfAm
2021-01-27,OTHER/MULTIRACIAL,48593,0.1789661855669526,OTHER/MULTIRACIAL
2021-01-27,UNKNOWN,130050,0,UNKNOWN
2021-01-27,WHITE,351537,0.06525222033795129,Caucasian/White
2021-01-28,ASIAN,6203,0.05104318427840301,Asian
